City,FAA,IATA,ICAO,Airport,Role,Enplanements
ALABAMA,,,,,,
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,516,075"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"58,860"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"702,574"
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"328,245"
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"194,990"
ALASKA,,,,,,
Anchorage,LHD,,PALH,Lake Hood Seaplane Base (also Lake Hood Airstrip),P-N,"18,159"
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,"26,505"
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,713,843"
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"13,854"
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"160,874"
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"19,388"
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"71,822"
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"35,486"
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"562,420"
Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,"11,130"
Homer,HOM,HOM,PAHO,Homer Airport,P-N,"46,367"
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"459,191"
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"95,239"
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"137,090"
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"44,244"
Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,"12,980"
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),P-N,"85,655"
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"67,876"
Nome,OME,OME,PAOM,Nome Airport,P-N,"65,087"
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"23,479"
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"12,851"
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"90,839"
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"15,911"
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,"27,232"
Utqiaġvik (Barrow),BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"46,289"
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"12,631"
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"14,776"
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"12,808"
ARIZONA,,,,,,
Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"134,498"
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"119,864"
Grand Canyon,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"250,990"
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,"881,855"
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,"41,579"
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"22,433,552"
Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,"27,771"
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,849,081"
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"100,480"
ARKANSAS,,,,,,
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,"891,237"
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"91,960"
Little Rock,LIT,LIT,KLIT,Clinton National Airport (Adams Field) (was Little Rock National),P-S,"1,086,740"
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"37,492"
CALIFORNIA,,,,,,
Arcata/Eureka,ACV,ACV,KACV,Arcata Airport,P-N,"86,147"
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"129,669"
Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,"2,988,720"
Concord,CCR,CCR,KCCR,Buchanan Field Airport,P-N,81
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"966,607"
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,752,283"
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"42,939,104"
Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],"17,248"
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"233,967"
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"6,560,230"
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"2,723,002"
Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,153,276"
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"1,309,170"
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"51,639"
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"6,454,413"
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"12,648,692"
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"27,779,230"
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"7,688,152"
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"267,924"
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"510,141"
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"24,266"
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"239,859"
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"101,156"
COLORADO,,,,,,
Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,"308,143"
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"828,429"
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"33,592,945"
Durango,DRO,DRO,KDRO,Durango–La Plata County Airport,P-N,"195,220"
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"191,377"
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"250,016"
Gunnison,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport,P-N,"36,183"
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"106,007"
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"158,198"
CONNECTICUT,,,,,,
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"3,323,614"
New Haven,HVN,HVN,KHVN,Tweed-New Haven Airport,P-N,"48,860"
FLORIDA,,,,,,
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"340,815"
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"17,950,989"
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"5,044,024"
Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,"813,600"
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"273,253"
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"3,479,923"
Key West,EYW,EYW,KEYW,Key West International Airport,P-N,"497,656"
Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport,P-N,"241,289"
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"21,421,031"
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"24,562,271"
Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport[nb 2],P-S,"621,406"
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,"1,098,889"
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"821,557"
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,601,614"
Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,"977,530"
St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,"1,143,483"
Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"415,272"
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"10,978,756"
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,460,429"
GEORGIA,,,,,,
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"41,268"
Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"53,505,795"
Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"330,495"
Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"40,730"
Columbus,CSG,CSG,KCSG,Columbus Airport,P-N,"52,351"
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"1,461,360"
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"44,180"
HAWAII,,,,,,
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,"582,919"
"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,988,678"
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,791,807"
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,"1,929,553"
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport (Hoolehua Airport),P-N,"51,251"
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,"48,556"
"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,"1,657,766"
IDAHO,,,,,,
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,"2,057,750"
Hailey / Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"89,317"
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"175,549"
Lewiston,LWS,LWS,KLWS,Lewiston–Nez Perce County Airport,P-N,"40,405"
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"43,626"
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"51,406"
ILLINOIS,,,,,,
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"153,753"
Bloomington / Normal,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"209,156"
Champaign / Urbana / Savoy,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"105,559"
Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"10,081,781"
Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"40,871,223"
Moline,MLI,MLI,KMLI,Quad City International Airport,P-N,"355,626"
Peoria,PIA,PIA,KPIA,General Downing-Peoria International Airport,P-N,"341,064"
Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"116,767"
Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"75,407"
INDIANA,,,,,,
Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"242,425"
Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,"402,400"
Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,709,183"
South Bend,SBN,SBN,KSBN,South Bend International Airport,P-N,"416,140"
IOWA,,,,,,
Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport,P-S,"672,193"
Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,427,035"
Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"38,036"
Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Brig. General Bud Day Field),P-N,"47,116"
KANSAS,,,,,,
Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"25,073"
Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"81,307"
Salina,SLN,SLN,KSLN,Salina Regional Airport,P-N,"16,026"
Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),P-S,"856,088"
KENTUCKY,,,,,,
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"4,413,457"
Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,"706,957"
Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"2,043,525"
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,CS,"17,982"
LOUISIANA,,,,,,
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"141,832"
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"399,591"
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"265,559"
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"62,057"
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"115,593"
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"6,874,111"
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"325,399"
MAINE,,,,,,
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"325,160"
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"1,088,728"
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,,
MARYLAND,,,,,,
Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,"13,371,816"
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"23,654"
Salisbury,SBY,SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport,P-N,"64,393"
MASSACHUSETTS,,,,,,
Bedford,BED,BED,KBED,Hanscom Field / Hanscom Air Force Base,P-N,"15,105"
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Hyannis,HYA,HYA,KHYA,Cape Cod Gateway Airport (Boardman/Polando Field),P-N,"31,027"
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"126,197"
Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"10,074"
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"54,084"
Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,"57,800"
MICHIGAN,,,,,,
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Detroit,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport,P-L,"16,847,135"
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Flint,FNT,FNT,KFNT,Bishop International Airport,P-N,"398,508"
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Houghton,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Pellston,PLN,PLN,KPLN,Pellston Regional Airport,P-N,"25,497"
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924"
MINNESOTA,,,,,,
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"25,510"
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"18,200"
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"124,284"
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,"12,654"
International Falls,INL,INL,KINL,Falls International Airport,P-N,"13,831"
Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"18,123,844"
Rochester,RST,RST,KRST,Rochester International Airport,P-N,"112,864"
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport,P-N,"15,615"
MISSISSIPPI,,,,,,
Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"40,823"
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,"305,157"
Jackson,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport,P-S,"491,464"
Meridian,MEI,MEI,KMEI,Meridian Regional Airport (Key Field),P-N,"26,359"
Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,"7,539"
MISSOURI,,,,,,
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"65,014"
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"27,930"
